year,category,laureates,shared_count
1901,Chemistry,"[""Jacobus Henricus van 't Hoff""]",1
1901,Literature,['Sully Prudhomme'],1
1901,Peace,"['Jean Henry Dunant', 'Frédéric Passy']",2
1901,Physics,['Wilhelm Conrad Röntgen'],1
1901,Physiology or Medicine,['Emil Adolf von Behring'],1
1902,Chemistry,['Hermann Emil Fischer'],1
1902,Literature,['Christian Matthias Theodor Mommsen'],1
1902,Peace,"['Élie Ducommun', 'Charles Albert Gobat']",2
1902,Physics,"['Hendrik Antoon Lorentz', 'Pieter Zeeman']",2
1902,Physiology or Medicine,['Ronald Ross'],1
1903,Chemistry,['Svante August Arrhenius'],1
1903,Literature,['Bjørnstjerne Martinus Bjørnson'],1
1903,Peace,['William Randal Cremer'],1
1903,Physics,"['Antoine Henri Becquerel', 'Pierre Curie', 'Marie Curie, née Skłodowska']",3
1903,Physiology or Medicine,['Niels Ryberg Finsen'],1
1904,Chemistry,['Sir William Ramsay'],1
1904,Literature,"['Frédéric Mistral', 'José Echegaray y Eizaguirre']",2
1904,Peace,['Institute of International Law'],1
1904,Physics,['Lord Rayleigh (John William Strutt)'],1
1904,Physiology or Medicine,['Ivan Petrovich Pavlov'],1
1905,Chemistry,['Johann Friedrich Wilhelm Adolf von Baeyer'],1
1905,Literature,['Henryk Sienkiewicz'],1
1905,Peace,"['Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau']",1
1905,Physics,['Philipp Eduard Anton von Lenard'],1
1905,Physiology or Medicine,['Robert Koch'],1
1906,Chemistry,['Henri Moissan'],1
1906,Literature,['Giosuè Carducci'],1
1906,Peace,['Theodore Roosevelt Jr.'],1
1906,Physics,['Joseph John Thomson'],1
1906,Physiology or Medicine,"['Camillo Golgi', 'Santiago Ramón y Cajal']",2
1907,Chemistry,['Eduard Buchner'],1
1907,Literature,['Rudyard Kipling'],1
1907,Peace,"['Ernesto Teodoro Moneta', 'Louis Renault']",2
1907,Physics,['Albert Abraham Michelson'],1
1907,Physiology or Medicine,['Charles Louis Alphonse Laveran'],1
1908,Chemistry,['Ernest Rutherford'],1
1908,Literature,['Rudolf Christoph Eucken'],1
1908,Peace,"['Klas Pontus Arnoldson', 'Fredrik Bajer']",2
1908,Physics,['Gabriel Lippmann'],1
1908,Physiology or Medicine,"['Ilya Ilyich Mechnikov', 'Paul Ehrlich']",2
1909,Chemistry,['Wilhelm Ostwald'],1
